target,num_stamps,overpayment,stamps
145,3,5,"[63, 63, 24]"
145,4,1,"[63, 63, 10, 10]"
145,5,1,"[63, 63, 10, 5, 5]"
145,5,0,"[63, 63, 10, 5, 4]"
145,6,2,"[63, 63, 10, 5, 3, 3]"
145,6,1,"[63, 63, 10, 5, 3, 2]"
145,6,0,"[63, 63, 10, 5, 3, 1]"
145,6,0,"[63, 63, 10, 5, 2, 2]"
145,6,3,"[63, 63, 10, 4, 4, 4]"
145,6,2,"[63, 63, 10, 4, 4, 3]"
145,6,1,"[63, 63, 10, 4, 4, 2]"
145,6,0,"[63, 63, 10, 4, 4, 1]"
145,6,1,"[63, 63, 10, 4, 3, 3]"
145,6,0,"[63, 63, 10, 4, 3, 2]"
145,6,0,"[63, 63, 10, 3, 3, 3]"
145,6,1,"[63, 63, 5, 5, 5, 5]"
145,6,0,"[63, 63, 5, 5, 5, 4]"
145,3,14,"[63, 48, 48]"
145,3,6,"[63, 48, 40]"
145,4,14,"[63, 48, 24, 24]"
145,4,0,"[63, 48, 24, 10]"
145,5,0,"[63, 48, 24, 5, 5]"
145,6,3,"[63, 48, 24, 5, 4, 4]"
145,6,2,"[63, 48, 24, 5, 4, 3]"
145,6,1,"[63, 48, 24, 5, 4, 2]"
145,6,0,"[63, 48, 24, 5, 4, 1]"
145,6,1,"[63, 48, 24, 5, 3, 3]"
145,6,0,"[63, 48, 24, 5, 3, 2]"
145,6,2,"[63, 48, 24, 4, 4, 4]"
145,6,1,"[63, 48, 24, 4, 4, 3]"
145,6,0,"[63, 48, 24, 4, 4, 2]"
145,6,0,"[63, 48, 24, 4, 3, 3]"
145,6,6,"[63, 48, 10, 10, 10, 10]"
145,6,1,"[63, 48, 10, 10, 10, 5]"
145,6,0,"[63, 48, 10, 10, 10, 4]"
145,4,38,"[63, 40, 40, 40]"
145,4,22,"[63, 40, 40, 24]"
145,4,8,"[63, 40, 40, 10]"
145,4,3,"[63, 40, 40, 5]"
145,4,2,"[63, 40, 40, 4]"
145,4,1,"[63, 40, 40, 3]"
145,4,0,"[63, 40, 40, 2]"
145,5,0,"[63, 40, 40, 1, 1]"
145,4,6,"[63, 40, 24, 24]"
145,5,2,"[63, 40, 24, 10, 10]"
145,6,2,"[63, 40, 24, 10, 5, 5]"
